url,final_url,reachable,status,error,title,construction,density,sections,media_count,hero_signal,grid_signal,card_signal,bento_signal,frame_signal,motion_signal,video_signal,lazy_signal,responsive_image_signal,has_viewport,ratio_mix
https://basement.studio/,https://basement.studio/,True,200,,basement.studio | We make cool shit that performs.,editorial_freeform,high,3,79,False,True,False,False,False,True,False,True,True,True,"{""landscape"": 75}"
https://www.v7labs.com/,https://www.v7labs.com/,True,200,,"V7 Go | AI Workflows for Finance, Insurance, & Enterprise",editorial_freeform,medium,3,7,False,True,False,False,True,True,False,True,True,True,"{""portrait"": 1, ""square-ish"": 6}"
https://railway.com/,https://railway.com/,True,200,,Railway | The all-in-one intelligent cloud provider,sectioned,high,8,60,True,True,False,False,False,True,False,True,True,True,"{""square-ish"": 2, ""ultrawide"": 12}"
https://www.framer.com/,https://www.framer.com/,True,200,,Framer: AI design agent,sectioned,high,6,168,False,True,False,False,True,True,True,True,True,True,"{""square-ish"": 23, ""portrait"": 16, ""landscape"": 19, ""ultrawide"": 4}"
https://pryzm.design/,https://pryzm.design/,True,200,,Pryzm | Background & Visual Studio for Designers,sectioned,high,10,24,False,True,True,False,False,True,True,True,False,True,{}
https://108.supply/,https://108.supply/,True,200,,108™ Supply — Motion Templates for Jitter,editorial_freeform,high,3,51,False,False,True,False,True,True,True,True,True,True,"{""square-ish"": 1}"
https://ponder.ai/,https://ponder.ai/,True,200,,Ponder,sectioned,high,7,76,False,True,True,False,False,True,True,True,True,True,{}
https://www.glyphsandgrids.com/,https://www.glyphsandgrids.com/,True,200,,Glyphs & Grids — Font Manager for macOS,sectioned,medium,4,23,True,True,True,False,True,True,True,False,False,True,{}
https://rectangles.fm/,https://rectangles.fm/,True,200,,Design's Group Chat,sectioned,high,6,95,False,True,False,False,True,True,False,True,True,True,"{""ultrawide"": 5, ""landscape"": 8, ""portrait"": 30, ""square-ish"": 34}"
https://trionn.com/,https://trionn.com/,True,200,,TRIONN | AI-Powered Creative Design & Development Studio in India,sectioned,medium,4,22,True,True,True,False,False,True,True,True,False,True,"{""ultrawide"": 11}"
https://x.ai/,https://x.ai/,False,403,HTTPError,,,,,,,,,,,,,,,,
https://mainframe.app/,https://mainframe.app/,True,200,,Mainframe,editorial_freeform,low,1,0,False,False,False,False,True,False,False,False,False,True,{}
https://rig.ai/,https://rig.ai/,True,200,,Rig - Local-First AI Coding Assistant,sectioned,high,12,4,True,True,True,False,True,True,False,True,True,True,"{""ultrawide"": 1}"
https://damngoodbrands.com/,https://damngoodbrands.com/,True,200,,Damn Good Brands | (Ad)venture™ Fund,editorial_freeform,low,0,0,False,False,False,False,False,True,False,False,False,True,{}
https://inkgames.com/,https://inkgames.com/,True,200,,INK Games,sectioned,medium,6,7,False,True,False,False,False,True,True,True,True,True,{}
https://griflan.com/,https://griflan.com/,True,200,,Griflan – Creative Agency for Bold Brands & Digital Design,editorial_freeform,medium,3,19,False,True,False,False,False,True,True,True,True,True,"{""landscape"": 2, ""ultrawide"": 1}"
https://corentinbernadou.com/,https://corentinbernadou.com/,True,200,,Corentin Bernadou · Freelance Developer,editorial_freeform,low,0,0,False,True,False,False,False,True,False,False,False,True,{}
https://bymonolog.com/,https://bymonolog.com/,True,200,,MONOLOG | Brand and Web Design Studio founded By Huy,sectioned,high,8,53,False,True,False,False,False,True,True,True,True,True,"{""landscape"": 1, ""square-ish"": 13}"
https://mohitsingh.cloud/,https://www.mohitsingh.cloud/,True,200,,Mohit Singh,editorial_freeform,medium,3,9,False,True,True,False,False,True,True,True,True,True,"{""square-ish"": 2}"
https://fora.so/,https://fora.so/,True,200,,Fora — The community platform for creators,sectioned,high,8,47,False,False,False,False,True,True,False,True,True,True,"{""ultrawide"": 10, ""square-ish"": 15, ""landscape"": 17, ""portrait"": 2}"
https://cssstudio.ai/,https://cssstudio.ai/,True,200,,CSS Studio. You and your agent. Designing together.,sectioned,high,14,1,True,True,True,False,True,True,False,False,False,True,{}
https://app.reve.com/,https://app.reve.com/,True,200,,Reve Image - Model,editorial_freeform,medium,0,15,True,True,True,False,False,True,True,True,True,True,"{""portrait"": 12, ""square-ish"": 1, ""landscape"": 2}"
https://titangatequity.com/,https://titangatequity.com/,True,200,,TitanGate Equity | A New Class of Ownership,sectioned,high,11,25,True,True,True,False,False,True,True,True,True,True,{}
https://www.runlayer.com/,https://www.runlayer.com/,True,200,,Go all in on AI | Runlayer,sectioned,high,14,25,True,True,True,False,True,False,False,True,True,True,"{""ultrawide"": 2, ""landscape"": 1, ""square-ish"": 12}"
https://www.1820productions.com/,https://www.1820productions.com/,True,200,,1820 Productions - Video Production Dallas | Media Company,sectioned,medium,7,13,False,True,False,False,False,True,True,True,True,True,{}
https://definedvc.com/,https://definedvc.com/,True,200,,Defined | Build the AI Frontier®,app-shell_or_js,high,0,173,False,True,False,False,True,True,True,True,True,True,"{""ultrawide"": 79}"
https://xmcp.dev/,https://xmcp.dev/,True,200,,xmcp — The TypeScript MCP framework,app-shell_or_js,medium,0,19,False,True,False,False,False,False,False,True,True,True,"{""landscape"": 6, ""square-ish"": 10}"
https://oxiinstruments.com/,https://oxiinstruments.com/,False,403,HTTPError,,,,,,,,,,,,,,,,
https://danilosierra.com/,https://www.danilosierra.com/,True,200,,"Danilo Sierra — Founder and Managing Director, Berlin",editorial_freeform,high,0,74,False,False,False,False,False,True,True,True,False,True,"{""landscape"": 53, ""portrait"": 16, ""square-ish"": 1}"
https://www.subdivision.work/,https://www.subdivision.work/,True,200,,Subdivision,editorial_freeform,low,0,0,False,True,False,False,False,True,False,False,False,True,{}
https://thisiswahba.com/,https://thisiswahba.com/,False,404,HTTPError,,,,,,,,,,,,,,,,
https://www.khroma.co/,https://www.khroma.co/,True,200,,Khroma - AI Color Tool for Designers | Discover and Save Color Palettes,sectioned,low,4,2,False,False,False,False,True,False,False,False,False,True,{}
https://www.usedropshot.com/,https://www.usedropshot.com/,True,200,,Dropshot — Cinematic product shots & app store preview videos in your browser,editorial_freeform,low,0,0,False,False,False,False,False,False,False,False,False,True,{}
https://www.framer.com/state-of-sites-2026/,https://www.framer.com/state-of-sites-2026/,True,200,,Framer: State of Sites 2026,app-shell_or_js,high,0,39,False,True,False,False,True,True,False,True,True,True,"{""square-ish"": 33, ""landscape"": 5}"
